timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739580016978,798,Show List Form,200,,MainThreadGroup 1-7,text,true,,30690,185,17,17,http://192.168.1.107:8080/books,720,0,1
1739580017628,215,Show List Form,200,,MainThreadGroup 1-13,text,true,,30690,185,18,18,http://192.168.1.107:8080/books,161,0,1
1739580017284,655,Show List Form,200,,MainThreadGroup 1-10,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,544,0,1
1739580017400,543,Show List Form,200,,MainThreadGroup 1-11,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,368,0,3
1739580017090,863,Show List Form,200,,MainThreadGroup 1-8,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,757,0,1
1739580017495,467,Show List Form,200,,MainThreadGroup 1-12,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,362,0,0
1739580016546,1431,Show List Form,200,,MainThreadGroup 1-3,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,1273,0,1
1739580016469,1509,Show List Form,200,,MainThreadGroup 1-1,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,1325,0,39
1739580016646,1336,Show List Form,200,,MainThreadGroup 1-4,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,1256,0,2
1739580016866,1121,Show List Form,200,,MainThreadGroup 1-6,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,889,0,0
1739580016469,1526,Show List Form,200,,MainThreadGroup 1-2,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,1310,0,41
1739580017179,832,Show List Form,200,,MainThreadGroup 1-9,text,true,,30690,185,19,19,http://192.168.1.107:8080/books,560,0,1
1739580017757,262,Show List Form,200,,MainThreadGroup 1-14,text,true,,30690,185,20,20,http://192.168.1.107:8080/books,229,0,1
1739580017939,84,Show List Form,200,,MainThreadGroup 1-16,text,true,,30690,185,20,20,http://192.168.1.107:8080/books,59,0,0
1739580016760,1270,Show List Form,200,,MainThreadGroup 1-5,text,true,,30690,185,20,20,http://192.168.1.107:8080/books,1228,0,1
